train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-50.0,0.0,50,77.00118160247803,False,50,,1,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-07-33,1605798453,77.00118160247803,21772,scspcxxx,10.32.116.100,77.00118160247803,50,1,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,63.666399240493774,False,50,,2,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-08-37,1605798517,140.6675808429718,21772,scspcxxx,10.32.116.100,140.6675808429718,50,2,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.144057512283325,False,100,,3,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-09-35,1605798575,198.81163835525513,21772,scspcxxx,10.32.116.100,198.81163835525513,100,3,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,55.254743337631226,False,150,,4,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-10-30,1605798630,254.06638169288635,21772,scspcxxx,10.32.116.100,254.06638169288635,150,4,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-15.0,1.0,16,22.151912212371826,False,166,,5,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-10-52,1605798652,276.2182939052582,21772,scspcxxx,10.32.116.100,276.2182939052582,166,5,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,60.830180406570435,False,216,,6,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-11-53,1605798713,337.0484743118286,21772,scspcxxx,10.32.116.100,337.0484743118286,216,6,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,54.42948794364929,False,266,,7,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-12-48,1605798768,391.4779622554779,21772,scspcxxx,10.32.116.100,391.4779622554779,266,7,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.204925775527954,False,316,,8,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-13-46,1605798826,449.68288803100586,21772,scspcxxx,10.32.116.100,449.68288803100586,316,8,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.954779386520386,False,366,,9,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-14-43,1605798883,506.63766741752625,21772,scspcxxx,10.32.116.100,506.63766741752625,366,9,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.904924392700195,False,416,,10,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-15-42,1605798942,565.5425918102264,21772,scspcxxx,10.32.116.100,565.5425918102264,416,10,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-23.0,1.0,24,31.35259222984314,False,440,,11,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-16-13,1605798973,596.8951840400696,21772,scspcxxx,10.32.116.100,596.8951840400696,440,11,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.529874324798584,False,490,,12,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-17-12,1605799032,655.4250583648682,21772,scspcxxx,10.32.116.100,655.4250583648682,490,12,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,63.73005747795105,False,490,,13,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-18-15,1605799095,719.1551158428192,21772,scspcxxx,10.32.116.100,719.1551158428192,490,13,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-18.0,1.0,19,25.252225399017334,False,509,,14,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-18-41,1605799121,744.4073412418365,21772,scspcxxx,10.32.116.100,744.4073412418365,509,14,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.704994201660156,False,559,,15,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-19-40,1605799180,804.1123354434967,21772,scspcxxx,10.32.116.100,804.1123354434967,559,15,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-36.0,1.0,37,44.55377244949341,False,596,,16,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-20-25,1605799225,848.6661078929901,21772,scspcxxx,10.32.116.100,848.6661078929901,596,16,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-7.0,1.0,8,14.576226711273193,False,604,,17,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-20-39,1605799239,863.2423346042633,21772,scspcxxx,10.32.116.100,863.2423346042633,604,17,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.9805166721344,False,654,,18,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-21-39,1605799299,923.2228512763977,21772,scspcxxx,10.32.116.100,923.2228512763977,654,18,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.45527625083923,False,704,,19,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-22-39,1605799359,982.6781275272369,21772,scspcxxx,10.32.116.100,982.6781275272369,704,19,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.355175256729126,False,754,,20,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-23-37,1605799417,1041.033302783966,21772,scspcxxx,10.32.116.100,1041.033302783966,754,20,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,66.85580587387085,False,804,,21,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-24-44,1605799484,1107.889108657837,21772,scspcxxx,10.32.116.100,1107.889108657837,804,21,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.8801064491272,False,854,,22,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-25-44,1605799544,1167.769215106964,21772,scspcxxx,10.32.116.100,1167.769215106964,854,22,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-5.0,1.0,6,12.651111841201782,False,860,,23,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-25-57,1605799557,1180.420326948166,21772,scspcxxx,10.32.116.100,1180.420326948166,860,23,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,63.95775818824768,False,860,,24,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-27-01,1605799621,1244.3780851364136,21772,scspcxxx,10.32.116.100,1244.3780851364136,860,24,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,60.60295033454895,False,910,,25,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-28-01,1605799681,1304.9810354709625,21772,scspcxxx,10.32.116.100,1304.9810354709625,910,25,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.10459089279175,False,960,,26,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-28-57,1605799737,1361.0856263637543,21772,scspcxxx,10.32.116.100,1361.0856263637543,960,26,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.301419258117676,False,1010,,27,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-29-55,1605799795,1418.387045621872,21772,scspcxxx,10.32.116.100,1418.387045621872,1010,27,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,52.108856201171875,False,1060,,28,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-30-47,1605799847,1470.4959018230438,21772,scspcxxx,10.32.116.100,1470.4959018230438,1060,28,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-1.0,1.0,2,7.9192564487457275,False,1062,,29,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-30-55,1605799855,1478.4151582717896,21772,scspcxxx,10.32.116.100,1478.4151582717896,1062,29,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-2.0,1.0,3,8.951001405715942,False,1065,,30,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-31-04,1605799864,1487.3661596775055,21772,scspcxxx,10.32.116.100,1487.3661596775055,1065,30,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-29.0,1.0,30,35.52745985984802,False,1095,,31,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-31-39,1605799899,1522.8936195373535,21772,scspcxxx,10.32.116.100,1522.8936195373535,1095,31,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-1.0,1.0,2,7.980136871337891,False,1097,,32,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-31-47,1605799907,1530.8737564086914,21772,scspcxxx,10.32.116.100,1530.8737564086914,1097,32,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.25129961967468,False,1147,,33,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-32-45,1605799965,1589.125056028366,21772,scspcxxx,10.32.116.100,1589.125056028366,1147,33,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.43063569068909,False,1197,,34,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-33-42,1605800022,1645.5556917190552,21772,scspcxxx,10.32.116.100,1645.5556917190552,1197,34,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,282.06084752082825,False,1197,,35,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-38-24,1605800304,1927.6165392398834,21772,scspcxxx,10.32.116.100,1927.6165392398834,1197,35,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-35.0,1.0,36,40.01530337333679,False,1233,,36,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-39-04,1605800344,1967.6318426132202,21772,scspcxxx,10.32.116.100,1967.6318426132202,1233,36,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.05442500114441,False,1283,,37,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-40-03,1605800403,2026.6862676143646,21772,scspcxxx,10.32.116.100,2026.6862676143646,1283,37,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,51.68950796127319,False,1333,,38,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-40-55,1605800455,2078.375775575638,21772,scspcxxx,10.32.116.100,2078.375775575638,1333,38,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.469797134399414,False,1383,,39,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-41-52,1605800512,2135.8455727100372,21772,scspcxxx,10.32.116.100,2135.8455727100372,1383,39,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.608192682266235,False,1433,,40,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-42-49,1605800569,2192.4537653923035,21772,scspcxxx,10.32.116.100,2192.4537653923035,1433,40,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,53.22523903846741,False,1483,,41,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-43-42,1605800622,2245.679004430771,21772,scspcxxx,10.32.116.100,2245.679004430771,1483,41,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.27834486961365,False,1533,,42,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-44-39,1605800679,2302.9573493003845,21772,scspcxxx,10.32.116.100,2302.9573493003845,1533,42,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,60.95535945892334,False,1583,,43,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-45-40,1605800740,2363.912708759308,21772,scspcxxx,10.32.116.100,2363.912708759308,1583,43,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,61.610032081604004,False,1633,,44,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-46-42,1605800802,2425.522740840912,21772,scspcxxx,10.32.116.100,2425.522740840912,1633,44,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,54.23443961143494,False,1683,,45,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-47-36,1605800856,2479.757180452347,21772,scspcxxx,10.32.116.100,2479.757180452347,1683,45,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,338.211829662323,False,1683,,46,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-53-14,1605801194,2817.96901011467,21772,scspcxxx,10.32.116.100,2817.96901011467,1683,46,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,66.17564463615417,False,1733,,47,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-54-20,1605801260,2884.144654750824,21772,scspcxxx,10.32.116.100,2884.144654750824,1733,47,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.87912201881409,False,1783,,48,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-55-17,1605801317,2941.023776769638,21772,scspcxxx,10.32.116.100,2941.023776769638,1783,48,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,55.601916551589966,False,1833,,49,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-56-13,1605801373,2996.625693321228,21772,scspcxxx,10.32.116.100,2996.625693321228,1833,49,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.85651755332947,False,1883,,50,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-57-12,1605801432,3055.4822108745575,21772,scspcxxx,10.32.116.100,3055.4822108745575,1883,50,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.525620222091675,False,1933,,51,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-58-09,1605801489,3113.007831096649,21772,scspcxxx,10.32.116.100,3113.007831096649,1933,51,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,51.277499198913574,False,1983,,52,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-59-01,1605801541,3164.2853302955627,21772,scspcxxx,10.32.116.100,3164.2853302955627,1983,52,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.55502533912659,False,2033,,53,0af7428255d7489f9bed0e42463e5436,2020-11-19_10-59-58,1605801598,3221.8403556346893,21772,scspcxxx,10.32.116.100,3221.8403556346893,2033,53,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,62.40560293197632,False,2083,,54,0af7428255d7489f9bed0e42463e5436,2020-11-19_11-01-00,1605801660,3284.2459585666656,21772,scspcxxx,10.32.116.100,3284.2459585666656,2083,54,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,55.42988872528076,False,2133,,55,0af7428255d7489f9bed0e42463e5436,2020-11-19_11-01-56,1605801716,3339.6758472919464,21772,scspcxxx,10.32.116.100,3339.6758472919464,2133,55,c5301_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
